               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.016149,           0.0051782,           0.0027957,             0.91103,             0.91667,             0.94292,             0.73898,            0.014138,           0.0034179,            0.010069,            0.002872,            0.002872,            0.002872
                 146,            0.016111,           0.0051673,           0.0029092,             0.89974,             0.93729,             0.94223,             0.73216,            0.014164,            0.003442,            0.011196,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015735,           0.0051832,           0.0027296,             0.92316,             0.91891,             0.94219,             0.73228,            0.014039,           0.0034706,           0.0097787,            0.002773,            0.002773,            0.002773
                 148,            0.015938,           0.0051963,           0.0022367,             0.92508,              0.9184,             0.94067,             0.73313,            0.014033,            0.003506,           0.0095394,           0.0027235,           0.0027235,           0.0027235
                 149,            0.016032,           0.0050289,           0.0026295,             0.91193,             0.92156,             0.94694,             0.74431,            0.014068,           0.0034955,            0.010185,            0.002674,            0.002674,            0.002674
                 150,            0.015814,           0.0050973,           0.0021207,             0.91755,             0.91039,             0.94814,             0.74476,            0.013901,           0.0034843,           0.0099576,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015522,           0.0051055,           0.0020589,             0.87229,             0.94789,             0.94081,             0.73163,            0.014203,           0.0034402,             0.01133,            0.002575,            0.002575,            0.002575
                 152,            0.015509,            0.005081,           0.0023558,             0.90395,             0.91271,             0.93906,             0.73462,            0.014018,           0.0033913,            0.011513,           0.0025255,           0.0025255,           0.0025255
                 153,            0.015553,           0.0052873,           0.0026407,             0.89269,              0.9305,             0.93751,              0.7354,            0.013791,           0.0033897,            0.012174,            0.002476,            0.002476,            0.002476
                 154,            0.015582,           0.0051221,              0.0023,             0.91624,             0.90856,             0.93851,             0.73427,            0.013961,           0.0034209,            0.011566,           0.0024265,           0.0024265,           0.0024265
